"common.name","month_from","month_to"
"Allen's Hummingbird",2,3
"American Crow",4,5
"American Goldfinch",7,7
"American Kestrel",4,7
"American Robin",5,6
"American Tree Sparrow",6,7
"American Tree Sparrow/Spizella sp.",6,7
"Ash-throated Flycatcher",5,6
"Bald Eagle",2,6
"Baltimore Oriole",5,6
"Barn Owl",4,7
"Barn Swallow",6,7
"Bewick's Wren",4,5
"Black-capped Chickadee",5,6
"Black-chinned Hummingbird",5,6
"Black-crested Titmouse",3,5
"Black-crowned Night-Heron",4,5
"Black Phoebe",3,4
"Black Vulture",4,8
"Blue-gray Gnatcatcher",3,4
"Blue Jay",4,6
"Broad-winged Hawk",5,7
"Brown-crested Flycatcher",7,8
"Brown-headed Nuthatch",4,5
"Brown Thrasher",4,5
"Bullock's Oriole",5,6
"Bushtit",4,5
"Cackling Goose",3,4
"California Towhee",4,4
"California/Woodhouse's Scrub-Jay",4,5
"Calliope Hummingbird",6,7
"Canada Goose",4,5
"Canyon Wren",3,4
"Carolina Chickadee",4,5
"Carolina Wren",5,6
"Carolina/Black-capped Chickadee",4,5
"Cedar Waxwing",6,7
"Chestnut-backed Chickadee",3,5
"Chimney Swift",6,7
"Chipping Sparrow",6,7
"Cliff Swallow",6,7
"Common Grackle",5,6
"Common Merganser",4,6
"Common Raven",4,5
"Cooper's Hawk",4,7
"Cordilleran Flycatcher",6,7
"Dark-eyed Junco",4,5
"Eastern Bluebird",5,6
"Eastern Kingbird",5,6
"Eastern Phoebe",5,6
"Eastern Screech-Owl",4,6
"Eurasian Collared-Dove",5,7
"European Starling",5,6
"Fish Crow",4,5
"Gambel's Quail",3,4
"Gray Catbird",6,7
"Gray Vireo",6,7
"Great Crested Flycatcher",5,6
"Great Horned Owl",4,6
"Green Heron",5,6
"Hooded Merganser",3,5
"House Finch",4,5
"House Sparrow",6,7
"House Wren",6,7
"House/Purple Finch",3,4
"Juniper Titmouse",4,5
"Killdeer",5,6
"Lark Sparrow",6,6
"Mallard",2,3
"Mountain Bluebird",5,6
"Mountain Chickadee",5,7
"Mourning Dove",5,6
"Northern Cardinal",5,6
"Northern Flicker",5,6
"Northern Mockingbird",4,5
"Oak Titmouse",3,5
"Olive-sided Flycatcher",5,6
"Orchard Oriole",5,6
"Osprey",4,8
"Pacific-slope Flycatcher",6,7
"Peregrine Falcon",4,6
"Prothonotary Warbler",5,6
"Purple Martin",5,7
"Pygmy Nuthatch",5,6
"Red-eyed Vireo",6,7
"Red-shouldered Hawk",3,5
"Red-tailed Hawk",3,6
"Red-winged Blackbird",6,7
"Rock Pigeon",4,6
"Ruby-throated Hummingbird",7,8
"Say's Phoebe",6,6
"Scott's Oriole",5,6
"Snowy Egret",4,5
"Song Sparrow",6,7
"Steller's Jay",5,6
"Tree Swallow",5,6
"Tree/Violet-green Swallow",6,7
"Tufted Titmouse",4,5
"Vesper Sparrow",6,7
"Violet-green Swallow",5,7
"Western Bluebird",5,6
"Western Screech-Owl",3,5
"Western Wood-Pewee",6,7
"White-breasted Nuthatch",4,5
"White-eyed Vireo",5,6
"White-tailed Kite",8,10
"Wild Turkey",4,5
"Willow Flycatcher",6,7
"Wood Duck",4,6
"Wood Thrush",5,6
"wren sp.",5,7
"Yellow-bellied Sapsucker",5,7
"Yellow Warbler",5,6
